antecedents,consequents,support,confidence,lift
{np.str_('Fries')},{np.str_('Salad')},0.176,0.88,0.85
{np.str_('Soup')},{np.str_('Pizza')},0.175,0.18,1.23
"{np.str_('Coke'), np.str_('Pasta')}",{np.str_('Burger')},0.05,0.67,1.19
"{np.str_('Soup'), np.str_('Salad')}",{np.str_('Coke')},0.242,0.62,1.29
"{np.str_('Ketchup'), np.str_('Burger')}",{np.str_('Pasta')},0.105,0.22,1.49
"{np.str_('Ketchup'), np.str_('IceCream')}",{np.str_('Soup')},0.233,0.27,1.24
"{np.str_('Fries'), np.str_('Pasta')}",{np.str_('Ketchup')},0.217,0.13,1.08
{np.str_('Coke')},{np.str_('Soup')},0.21,0.15,1.44
{np.str_('Soup')},{np.str_('Ketchup')},0.187,0.44,0.97
"{np.str_('Fries'), np.str_('Pasta')}",{np.str_('Sandwich')},0.258,0.66,1.13
"{np.str_('Pasta'), np.str_('Salad')}",{np.str_('Sandwich')},0.194,0.14,1.06
"{np.str_('Fries'), np.str_('IceCream')}",{np.str_('Burger')},0.261,0.61,1.36
"{np.str_('Soup'), np.str_('Salad')}",{np.str_('Coke')},0.122,0.87,1.43
"{np.str_('Ketchup'), np.str_('Sandwich')}",{np.str_('Fries')},0.017,0.75,1.0
"{np.str_('Pasta'), np.str_('Salad')}",{np.str_('Ketchup')},0.092,0.24,1.33
"{np.str_('Ketchup'), np.str_('Salad')}",{np.str_('Soup')},0.259,0.44,1.33
{np.str_('Soup')},{np.str_('Pizza')},0.123,0.11,1.43
"{np.str_('Burger'), np.str_('Soup')}",{np.str_('Salad')},0.037,0.58,1.19
{np.str_('Pizza')},{np.str_('Salad')},0.224,0.54,1.29
{np.str_('Pizza')},{np.str_('Fries')},0.269,0.22,1.16
"{np.str_('Fries'), np.str_('Sandwich')}",{np.str_('Burger')},0.182,0.38,1.3
{np.str_('Coke')},{np.str_('Fries')},0.146,0.15,0.88
{np.str_('Salad')},{np.str_('Burger')},0.034,0.52,1.11
"{np.str_('Fries'), np.str_('Burger')}",{np.str_('Salad')},0.032,0.23,0.95
{np.str_('IceCream')},{np.str_('Pasta')},0.124,0.19,1.03
"{np.str_('Pizza'), np.str_('Salad')}",{np.str_('Ketchup')},0.296,0.66,1.18
{np.str_('Sandwich')},{np.str_('Salad')},0.285,0.68,1.23
"{np.str_('Coke'), np.str_('Sandwich')}",{np.str_('Burger')},0.236,0.48,1.49
{np.str_('Pasta')},{np.str_('Soup')},0.13,0.32,0.84
"{np.str_('Fries'), np.str_('Coke')}",{np.str_('Sandwich')},0.284,0.78,0.97
"{np.str_('Pasta'), np.str_('Salad')}",{np.str_('Soup')},0.189,0.39,0.88
"{np.str_('Ketchup'), np.str_('Coke')}",{np.str_('Salad')},0.173,0.8,1.08
"{np.str_('Burger'), np.str_('Soup')}",{np.str_('IceCream')},0.014,0.38,1.21
"{np.str_('Ketchup'), np.str_('IceCream')}",{np.str_('Sandwich')},0.19,0.79,1.46
"{np.str_('Pizza'), np.str_('Sandwich')}",{np.str_('Pasta')},0.153,0.36,1.24
"{np.str_('Fries'), np.str_('Salad')}",{np.str_('Soup')},0.147,0.63,0.92
"{np.str_('IceCream'), np.str_('Sandwich')}",{np.str_('Ketchup')},0.169,0.53,1.05
"{np.str_('Coke'), np.str_('Pasta')}",{np.str_('IceCream')},0.192,0.17,1.41
{np.str_('Fries')},{np.str_('IceCream')},0.151,0.59,1.06
"{np.str_('Coke'), np.str_('Soup')}",{np.str_('Fries')},0.113,0.42,0.87
{np.str_('Coke')},{np.str_('Ketchup')},0.147,0.38,1.25
"{np.str_('Ketchup'), np.str_('IceCream')}",{np.str_('Salad')},0.115,0.62,1.2
"{np.str_('Pizza'), np.str_('Sandwich')}",{np.str_('Soup')},0.057,0.25,1.0
{np.str_('Coke')},{np.str_('IceCream')},0.042,0.42,1.48
"{np.str_('Ketchup'), np.str_('Coke')}",{np.str_('IceCream')},0.165,0.48,1.39
{np.str_('Sandwich')},{np.str_('Burger')},0.187,0.33,1.21
{np.str_('Soup')},{np.str_('Fries')},0.103,0.75,0.98
{np.str_('Coke')},{np.str_('Salad')},0.251,0.87,0.89
"{np.str_('Ketchup'), np.str_('Salad')}",{np.str_('Soup')},0.237,0.76,1.33
"{np.str_('Burger'), np.str_('Sandwich')}",{np.str_('Ketchup')},0.102,0.57,1.28
"{np.str_('Fries'), np.str_('IceCream')}",{np.str_('Burger')},0.077,0.82,1.07
"{np.str_('Fries'), np.str_('Burger')}",{np.str_('Coke')},0.05,0.74,1.23
"{np.str_('Fries'), np.str_('Pizza')}",{np.str_('IceCream')},0.052,0.26,1.3
{np.str_('Fries')},{np.str_('IceCream')},0.053,0.28,1.31
"{np.str_('Sandwich'), np.str_('Salad')}",{np.str_('Pizza')},0.288,0.37,0.96
{np.str_('Ketchup')},{np.str_('Coke')},0.276,0.73,0.82
{np.str_('Pasta')},{np.str_('IceCream')},0.254,0.83,0.89
{np.str_('IceCream')},{np.str_('Pizza')},0.181,0.42,0.84
{np.str_('Sandwich')},{np.str_('Soup')},0.26,0.84,1.13
{np.str_('IceCream')},{np.str_('Pasta')},0.178,0.23,0.82
{np.str_('IceCream')},{np.str_('Coke')},0.143,0.55,1.4
{np.str_('Soup')},{np.str_('Burger')},0.021,0.48,1.2
"{np.str_('Ketchup'), np.str_('IceCream')}",{np.str_('Sandwich')},0.232,0.18,1.03
{np.str_('Burger')},{np.str_('Fries')},0.017,0.22,1.3
{np.str_('Coke')},{np.str_('Sandwich')},0.108,0.56,1.42
"{np.str_('Ketchup'), np.str_('IceCream')}",{np.str_('Salad')},0.128,0.36,0.86
"{np.str_('Fries'), np.str_('Coke')}",{np.str_('Pizza')},0.269,0.75,1.04
"{np.str_('Soup'), np.str_('IceCream')}",{np.str_('Pasta')},0.17,0.45,1.01
"{np.str_('Pasta'), np.str_('Sandwich')}",{np.str_('Soup')},0.133,0.12,0.99
"{np.str_('Ketchup'), np.str_('Pasta')}",{np.str_('Salad')},0.06,0.32,0.81
"{np.str_('Pizza'), np.str_('Sandwich')}",{np.str_('Fries')},0.219,0.19,0.9
{np.str_('Sandwich')},{np.str_('Burger')},0.131,0.41,1.16
"{np.str_('Soup'), np.str_('Sandwich')}",{np.str_('Ketchup')},0.123,0.33,1.05
{np.str_('IceCream')},{np.str_('Coke')},0.167,0.23,1.39
{np.str_('Sandwich')},{np.str_('Soup')},0.214,0.58,1.12
{np.str_('Burger')},{np.str_('Coke')},0.101,0.75,1.47
{np.str_('Fries')},{np.str_('Burger')},0.201,0.65,1.39
{np.str_('Salad')},{np.str_('Pasta')},0.3,0.54,1.13
{np.str_('Coke')},{np.str_('Ketchup')},0.255,0.36,1.38
{np.str_('Salad')},{np.str_('IceCream')},0.138,0.42,1.2
"{np.str_('Pizza'), np.str_('IceCream')}",{np.str_('Salad')},0.189,0.29,0.82
"{np.str_('Burger'), np.str_('Salad')}",{np.str_('Ketchup')},0.025,0.17,0.83
"{np.str_('Pizza'), np.str_('Soup')}",{np.str_('Pasta')},0.162,0.69,0.8
{np.str_('Sandwich')},{np.str_('Soup')},0.042,0.41,0.89
{np.str_('Burger')},{np.str_('IceCream')},0.146,0.59,0.92
"{np.str_('Fries'), np.str_('IceCream')}",{np.str_('Pizza')},0.024,0.41,0.83
"{np.str_('Fries'), np.str_('Coke')}",{np.str_('Pizza')},0.162,0.31,1.16
"{np.str_('Fries'), np.str_('Sandwich')}",{np.str_('Burger')},0.182,0.56,0.86
{np.str_('Sandwich')},{np.str_('Soup')},0.105,0.85,1.31
"{np.str_('Burger'), np.str_('Sandwich')}",{np.str_('Ketchup')},0.042,0.82,1.49
"{np.str_('Ketchup'), np.str_('Salad')}",{np.str_('Pasta')},0.161,0.79,0.97
{np.str_('Salad')},{np.str_('Soup')},0.018,0.76,0.89
{np.str_('Salad')},{np.str_('Pasta')},0.066,0.17,1.03
{np.str_('Salad')},{np.str_('Pasta')},0.167,0.87,1.04
"{np.str_('Burger'), np.str_('Soup')}",{np.str_('Fries')},0.234,0.67,1.13
"{np.str_('Burger'), np.str_('Salad')}",{np.str_('Ketchup')},0.23,0.12,0.82
"{np.str_('Ketchup'), np.str_('Soup')}",{np.str_('Salad')},0.258,0.52,1.38
{np.str_('IceCream')},{np.str_('Pasta')},0.135,0.85,1.09
{np.str_('Soup')},{np.str_('Salad')},0.077,0.27,0.82
{np.str_('Ketchup')},{np.str_('Salad')},0.055,0.46,1.17
{np.str_('IceCream')},{np.str_('Soup')},0.01,0.58,1.23
"{np.str_('Pizza'), np.str_('Pasta')}",{np.str_('Soup')},0.1,0.46,0.81
"{np.str_('Coke'), np.str_('Sandwich')}",{np.str_('Soup')},0.22,0.7,0.9
"{np.str_('Pizza'), np.str_('Ketchup')}",{np.str_('Burger')},0.16,0.17,1.05
{np.str_('Burger')},{np.str_('Pizza')},0.022,0.64,1.47
{np.str_('Ketchup')},{np.str_('Coke')},0.108,0.75,0.86
"{np.str_('Soup'), np.str_('Sandwich')}",{np.str_('Fries')},0.137,0.68,1.22
"{np.str_('Pasta'), np.str_('Sandwich')}",{np.str_('Ketchup')},0.201,0.5,1.19
"{np.str_('Pasta'), np.str_('Sandwich')}",{np.str_('Pizza')},0.074,0.43,0.94
{np.str_('Salad')},{np.str_('IceCream')},0.168,0.51,1.21
"{np.str_('Pizza'), np.str_('Burger')}",{np.str_('Coke')},0.298,0.33,1.05
{np.str_('IceCream')},{np.str_('Fries')},0.062,0.78,1.14
"{np.str_('IceCream'), np.str_('Soup')}",{np.str_('Pizza')},0.101,0.42,1.4
{np.str_('Soup')},{np.str_('IceCream')},0.135,0.3,1.23
{np.str_('Fries')},{np.str_('Salad')},0.237,0.66,1.11
{np.str_('IceCream')},{np.str_('Burger')},0.045,0.46,1.45
{np.str_('Pasta')},{np.str_('IceCream')},0.209,0.11,1.03
{np.str_('Burger')},{np.str_('Pasta')},0.019,0.35,1.29
"{np.str_('Pizza'), np.str_('Salad')}",{np.str_('IceCream')},0.061,0.65,1.39
"{np.str_('Ketchup'), np.str_('Salad')}",{np.str_('Burger')},0.21,0.64,0.95
"{np.str_('Pizza'), np.str_('Pasta')}",{np.str_('Sandwich')},0.102,0.79,1.5
{np.str_('Pasta')},{np.str_('Salad')},0.105,0.63,1.37
"{np.str_('Soup'), np.str_('Salad')}",{np.str_('Pasta')},0.012,0.36,1.06
{np.str_('Fries')},{np.str_('Sandwich')},0.031,0.58,1.27
"{np.str_('Coke'), np.str_('Pasta')}",{np.str_('Fries')},0.042,0.22,1.17
{np.str_('IceCream')},{np.str_('Ketchup')},0.067,0.11,1.25
"{np.str_('Sandwich'), np.str_('Salad')}",{np.str_('Fries')},0.058,0.59,1.17
"{np.str_('Soup'), np.str_('Salad')}",{np.str_('Coke')},0.249,0.52,0.89
"{np.str_('Pizza'), np.str_('Coke')}",{np.str_('Salad')},0.133,0.17,1.37
"{np.str_('Pizza'), np.str_('IceCream')}",{np.str_('Pasta')},0.187,0.43,1.39
"{np.str_('IceCream'), np.str_('Salad')}",{np.str_('Coke')},0.205,0.75,1.34
"{np.str_('IceCream'), np.str_('Salad')}",{np.str_('Pasta')},0.165,0.24,1.02
{np.str_('Pizza')},{np.str_('Coke')},0.183,0.64,1.11
{np.str_('Pasta')},{np.str_('Sandwich')},0.234,0.31,1.25
"{np.str_('Fries'), np.str_('Coke')}",{np.str_('Salad')},0.03,0.74,0.96
{np.str_('IceCream')},{np.str_('Salad')},0.204,0.9,1.26
{np.str_('Ketchup')},{np.str_('Soup')},0.059,0.43,1.1
{np.str_('Soup')},{np.str_('Salad')},0.298,0.84,1.18
{np.str_('IceCream')},{np.str_('Fries')},0.028,0.19,0.96
{np.str_('Sandwich')},{np.str_('Pizza')},0.125,0.46,1.22
{np.str_('Ketchup')},{np.str_('Burger')},0.044,0.75,1.07
"{np.str_('Fries'), np.str_('IceCream')}",{np.str_('Pizza')},0.055,0.28,1.47
"{np.str_('Pasta'), np.str_('Salad')}",{np.str_('Burger')},0.186,0.71,0.92
{np.str_('Soup')},{np.str_('Coke')},0.049,0.87,1.18
"{np.str_('Burger'), np.str_('Sandwich')}",{np.str_('Ketchup')},0.116,0.41,1.2
"{np.str_('Ketchup'), np.str_('Coke')}",{np.str_('IceCream')},0.295,0.29,0.9
{np.str_('Salad')},{np.str_('Burger')},0.077,0.28,0.92
"{np.str_('Burger'), np.str_('Soup')}",{np.str_('Salad')},0.113,0.52,1.14
{np.str_('Coke')},{np.str_('Salad')},0.23,0.21,1.17
{np.str_('Pizza')},{np.str_('Ketchup')},0.118,0.31,1.25
{np.str_('Burger')},{np.str_('Coke')},0.119,0.42,1.12
{np.str_('Coke')},{np.str_('Burger')},0.254,0.13,1.43
{np.str_('Coke')},{np.str_('Pasta')},0.16,0.22,1.32
{np.str_('Fries')},{np.str_('IceCream')},0.041,0.13,1.16
"{np.str_('Fries'), np.str_('Burger')}",{np.str_('Coke')},0.039,0.63,1.34
"{np.str_('Pizza'), np.str_('Pasta')}",{np.str_('Fries')},0.013,0.3,0.98
{np.str_('Pizza')},{np.str_('IceCream')},0.043,0.49,1.44
"{np.str_('Ketchup'), np.str_('Sandwich')}",{np.str_('Coke')},0.123,0.23,0.99
"{np.str_('Pasta'), np.str_('Sandwich')}",{np.str_('IceCream')},0.255,0.84,0.98
{np.str_('Burger')},{np.str_('Soup')},0.282,0.13,0.92
{np.str_('Salad')},{np.str_('Ketchup')},0.181,0.51,1.01
{np.str_('Salad')},{np.str_('IceCream')},0.082,0.68,1.49
"{np.str_('Pasta'), np.str_('Sandwich')}",{np.str_('Pizza')},0.065,0.38,1.35
"{np.str_('Pizza'), np.str_('Ketchup')}",{np.str_('Burger')},0.288,0.39,1.03
{np.str_('IceCream')},{np.str_('Coke')},0.219,0.81,1.22
{np.str_('Burger')},{np.str_('Soup')},0.122,0.42,1.41
{np.str_('Burger')},{np.str_('Pizza')},0.184,0.58,0.82
{np.str_('Pasta')},{np.str_('Coke')},0.16,0.45,0.9
{np.str_('IceCream')},{np.str_('Soup')},0.281,0.61,1.09
"{np.str_('Fries'), np.str_('Pasta')}",{np.str_('Soup')},0.069,0.55,1.49
{np.str_('Fries')},{np.str_('Coke')},0.085,0.44,1.41
{np.str_('Pasta')},{np.str_('Coke')},0.024,0.82,1.44
"{np.str_('Fries'), np.str_('Pizza')}",{np.str_('Salad')},0.201,0.87,0.85
"{np.str_('Burger'), np.str_('IceCream')}",{np.str_('Soup')},0.23,0.46,1.34
"{np.str_('Burger'), np.str_('Salad')}",{np.str_('Sandwich')},0.164,0.43,1.04
{np.str_('IceCream')},{np.str_('Ketchup')},0.295,0.31,1.26
"{np.str_('Fries'), np.str_('Salad')}",{np.str_('Burger')},0.016,0.68,1.09
{np.str_('Coke')},{np.str_('Soup')},0.24,0.54,1.23
"{np.str_('Pizza'), np.str_('Pasta')}",{np.str_('Burger')},0.204,0.47,1.09
{np.str_('Ketchup')},{np.str_('Pizza')},0.238,0.26,0.98
"{np.str_('Burger'), np.str_('Sandwich')}",{np.str_('Ketchup')},0.084,0.86,1.19
"{np.str_('Ketchup'), np.str_('Pasta')}",{np.str_('Coke')},0.242,0.4,1.12
{np.str_('Salad')},{np.str_('Ketchup')},0.194,0.74,1.08
"{np.str_('Ketchup'), np.str_('Burger')}",{np.str_('Coke')},0.115,0.82,0.92
"{np.str_('Pasta'), np.str_('Salad')}",{np.str_('Sandwich')},0.034,0.81,1.36
"{np.str_('Pizza'), np.str_('Coke')}",{np.str_('Salad')},0.299,0.88,1.26
"{np.str_('Pasta'), np.str_('Soup')}",{np.str_('Salad')},0.12,0.88,1.04
{np.str_('Pasta')},{np.str_('Fries')},0.248,0.47,1.05
"{np.str_('Ketchup'), np.str_('IceCream')}",{np.str_('Soup')},0.035,0.68,1.09
"{np.str_('Coke'), np.str_('Salad')}",{np.str_('Soup')},0.112,0.77,1.13
{np.str_('Sandwich')},{np.str_('Salad')},0.258,0.28,1.39
{np.str_('Pasta')},{np.str_('Ketchup')},0.199,0.85,1.41
{np.str_('Sandwich')},{np.str_('Pasta')},0.059,0.41,1.07
"{np.str_('Burger'), np.str_('Soup')}",{np.str_('Coke')},0.133,0.13,1.32
"{np.str_('Coke'), np.str_('IceCream')}",{np.str_('Burger')},0.253,0.89,1.23
{np.str_('Soup')},{np.str_('IceCream')},0.014,0.48,1.01
{np.str_('Soup')},{np.str_('Pasta')},0.264,0.36,1.04
"{np.str_('Soup'), np.str_('IceCream')}",{np.str_('Ketchup')},0.161,0.15,1.38
{np.str_('Fries')},{np.str_('Pizza')},0.265,0.56,1.16
{np.str_('Ketchup')},{np.str_('IceCream')},0.285,0.46,1.35
{np.str_('Ketchup')},{np.str_('Sandwich')},0.086,0.32,1.13
{np.str_('Coke')},{np.str_('Sandwich')},0.023,0.21,0.99
{np.str_('Fries')},{np.str_('Sandwich')},0.258,0.14,1.38
"{np.str_('Coke'), np.str_('Salad')}",{np.str_('Burger')},0.125,0.17,1.23
"{np.str_('Fries'), np.str_('Salad')}",{np.str_('Coke')},0.141,0.84,0.92
"{np.str_('Fries'), np.str_('Soup')}",{np.str_('Burger')},0.249,0.86,1.37
"{np.str_('Pizza'), np.str_('Pasta')}",{np.str_('Ketchup')},0.121,0.46,1.06
{np.str_('Ketchup')},{np.str_('Pasta')},0.13,0.62,1.25
{np.str_('Ketchup')},{np.str_('Sandwich')},0.045,0.82,0.85
"{np.str_('IceCream'), np.str_('Sandwich')}",{np.str_('Pasta')},0.177,0.13,0.89
{np.str_('Pizza')},{np.str_('Fries')},0.127,0.16,1.18
"{np.str_('Burger'), np.str_('IceCream')}",{np.str_('Pasta')},0.039,0.81,0.81
{np.str_('Ketchup')},{np.str_('Coke')},0.023,0.71,1.46
{np.str_('Pasta')},{np.str_('Burger')},0.206,0.58,1.06
"{np.str_('Pizza'), np.str_('IceCream')}",{np.str_('Sandwich')},0.018,0.5,1.47
"{np.str_('Ketchup'), np.str_('Burger')}",{np.str_('Sandwich')},0.143,0.33,1.43
{np.str_('IceCream')},{np.str_('Coke')},0.019,0.88,1.34
{np.str_('Coke')},{np.str_('Pasta')},0.138,0.34,0.98
{np.str_('Fries')},{np.str_('Ketchup')},0.111,0.56,0.9
{np.str_('Salad')},{np.str_('Sandwich')},0.175,0.6,0.94
{np.str_('Fries')},{np.str_('Pizza')},0.219,0.53,1.41
{np.str_('IceCream')},{np.str_('Salad')},0.053,0.47,1.49
"{np.str_('Ketchup'), np.str_('Burger')}",{np.str_('Pasta')},0.231,0.41,1.16
{np.str_('Coke')},{np.str_('Ketchup')},0.244,0.48,1.5
"{np.str_('Soup'), np.str_('Salad')}",{np.str_('Pizza')},0.019,0.88,0.95
{np.str_('Burger')},{np.str_('Salad')},0.114,0.74,1.0
"{np.str_('Ketchup'), np.str_('Salad')}",{np.str_('IceCream')},0.023,0.37,1.24
{np.str_('Salad')},{np.str_('Pizza')},0.188,0.17,1.14
"{np.str_('Fries'), np.str_('IceCream')}",{np.str_('Pizza')},0.012,0.18,1.41
"{np.str_('Pizza'), np.str_('IceCream')}",{np.str_('Fries')},0.031,0.42,1.01
"{np.str_('Ketchup'), np.str_('Coke')}",{np.str_('Sandwich')},0.254,0.54,0.95
{np.str_('Coke')},{np.str_('Pasta')},0.156,0.46,1.21
"{np.str_('Pizza'), np.str_('Burger')}",{np.str_('Sandwich')},0.243,0.54,1.16
{np.str_('Pizza')},{np.str_('Soup')},0.227,0.35,0.8
"{np.str_('Ketchup'), np.str_('Coke')}",{np.str_('Burger')},0.109,0.85,0.86
"{np.str_('Ketchup'), np.str_('Salad')}",{np.str_('Pizza')},0.136,0.83,1.06
"{np.str_('Coke'), np.str_('Salad')}",{np.str_('Soup')},0.206,0.21,0.98
{np.str_('Fries')},{np.str_('Soup')},0.041,0.73,1.25
"{np.str_('Fries'), np.str_('IceCream')}",{np.str_('Pizza')},0.194,0.72,0.8
{np.str_('Sandwich')},{np.str_('Salad')},0.147,0.8,0.95
{np.str_('Pasta')},{np.str_('Ketchup')},0.208,0.47,1.21
{np.str_('Ketchup')},{np.str_('Salad')},0.274,0.77,1.3
"{np.str_('Ketchup'), np.str_('Sandwich')}",{np.str_('Soup')},0.22,0.8,0.83
"{np.str_('Pizza'), np.str_('Ketchup')}",{np.str_('Coke')},0.177,0.16,1.07
{np.str_('Coke')},{np.str_('Pasta')},0.111,0.4,0.8
{np.str_('Salad')},{np.str_('Burger')},0.186,0.33,0.94
{np.str_('Salad')},{np.str_('Pasta')},0.205,0.57,1.49
{np.str_('Sandwich')},{np.str_('Burger')},0.075,0.26,0.9
"{np.str_('Fries'), np.str_('Burger')}",{np.str_('Ketchup')},0.085,0.38,1.44
"{np.str_('Pizza'), np.str_('Coke')}",{np.str_('Sandwich')},0.154,0.28,0.83
{np.str_('Pasta')},{np.str_('Salad')},0.09,0.75,1.12
"{np.str_('Fries'), np.str_('IceCream')}",{np.str_('Soup')},0.299,0.52,1.07
"{np.str_('Fries'), np.str_('Burger')}",{np.str_('Pasta')},0.175,0.31,1.11
{np.str_('Coke')},{np.str_('Fries')},0.213,0.42,1.47
"{np.str_('Burger'), np.str_('IceCream')}",{np.str_('Coke')},0.203,0.23,1.2
"{np.str_('Pizza'), np.str_('Burger')}",{np.str_('Ketchup')},0.023,0.75,0.92
{np.str_('Fries')},{np.str_('Ketchup')},0.094,0.42,1.44
{np.str_('Pasta')},{np.str_('Pizza')},0.027,0.46,0.99
{np.str_('Salad')},{np.str_('Burger')},0.066,0.83,0.87
"{np.str_('Pizza'), np.str_('Pasta')}",{np.str_('Salad')},0.075,0.45,1.3
"{np.str_('Sandwich'), np.str_('Salad')}",{np.str_('IceCream')},0.269,0.86,1.42
{np.str_('Pizza')},{np.str_('Soup')},0.096,0.58,0.82
"{np.str_('Pasta'), np.str_('Soup')}",{np.str_('IceCream')},0.25,0.14,1.31
{np.str_('Ketchup')},{np.str_('Salad')},0.092,0.44,0.83
"{np.str_('Pizza'), np.str_('Salad')}",{np.str_('Burger')},0.292,0.28,1.01
{np.str_('Sandwich')},{np.str_('Coke')},0.225,0.78,1.1
"{np.str_('Coke'), np.str_('Soup')}",{np.str_('Sandwich')},0.128,0.28,1.33
"{np.str_('Soup'), np.str_('IceCream')}",{np.str_('Sandwich')},0.16,0.32,1.24
"{np.str_('Fries'), np.str_('Ketchup')}",{np.str_('Burger')},0.159,0.51,1.06
{np.str_('Ketchup')},{np.str_('Pasta')},0.257,0.38,0.82
{np.str_('Fries')},{np.str_('Burger')},0.221,0.55,1.46
{np.str_('Ketchup')},{np.str_('Coke')},0.046,0.74,1.23
"{np.str_('IceCream'), np.str_('Salad')}",{np.str_('Burger')},0.167,0.44,1.02
"{np.str_('Fries'), np.str_('Burger')}",{np.str_('Coke')},0.245,0.64,1.24
"{np.str_('Coke'), np.str_('Sandwich')}",{np.str_('Pizza')},0.014,0.64,0.84
{np.str_('Pasta')},{np.str_('Ketchup')},0.03,0.73,1.0
"{np.str_('Coke'), np.str_('Burger')}",{np.str_('Salad')},0.295,0.73,1.31
{np.str_('IceCream')},{np.str_('Soup')},0.294,0.15,1.16
{np.str_('IceCream')},{np.str_('Coke')},0.133,0.38,1.08
{np.str_('Pasta')},{np.str_('Salad')},0.052,0.58,0.92
{np.str_('Sandwich')},{np.str_('Pizza')},0.198,0.31,0.81
{np.str_('Sandwich')},{np.str_('Fries')},0.261,0.86,0.87
"{np.str_('Burger'), np.str_('IceCream')}",{np.str_('Salad')},0.128,0.11,1.21
{np.str_('Pasta')},{np.str_('Salad')},0.293,0.18,0.81
"{np.str_('Soup'), np.str_('Salad')}",{np.str_('Coke')},0.136,0.68,0.81
"{np.str_('Ketchup'), np.str_('Salad')}",{np.str_('Sandwich')},0.264,0.69,0.81
{np.str_('Sandwich')},{np.str_('Fries')},0.222,0.59,1.27
"{np.str_('Burger'), np.str_('IceCream')}",{np.str_('Soup')},0.068,0.59,1.32
"{np.str_('Coke'), np.str_('IceCream')}",{np.str_('Burger')},0.107,0.79,1.44
{np.str_('Sandwich')},{np.str_('Salad')},0.134,0.45,1.25
{np.str_('Pasta')},{np.str_('Salad')},0.156,0.14,1.14
"{np.str_('Ketchup'), np.str_('Pasta')}",{np.str_('Sandwich')},0.042,0.51,1.35
"{np.str_('Burger'), np.str_('IceCream')}",{np.str_('Salad')},0.012,0.84,1.11
"{np.str_('Pizza'), np.str_('Salad')}",{np.str_('IceCream')},0.073,0.75,1.35
"{np.str_('Pizza'), np.str_('Sandwich')}",{np.str_('Pasta')},0.17,0.5,0.94
"{np.str_('Soup'), np.str_('IceCream')}",{np.str_('Ketchup')},0.143,0.43,1.31
"{np.str_('Pizza'), np.str_('IceCream')}",{np.str_('Sandwich')},0.167,0.38,1.09
"{np.str_('Ketchup'), np.str_('Burger')}",{np.str_('Pizza')},0.186,0.3,0.84
"{np.str_('Fries'), np.str_('Ketchup')}",{np.str_('Burger')},0.134,0.53,1.29
{np.str_('Pasta')},{np.str_('Fries')},0.016,0.86,1.29
{np.str_('Coke')},{np.str_('Pasta')},0.234,0.86,1.34
"{np.str_('Fries'), np.str_('Coke')}",{np.str_('Pizza')},0.083,0.11,1.31
"{np.str_('Fries'), np.str_('Soup')}",{np.str_('Burger')},0.164,0.51,1.37
{np.str_('Sandwich')},{np.str_('IceCream')},0.264,0.41,1.18
"{np.str_('Pizza'), np.str_('Sandwich')}",{np.str_('IceCream')},0.077,0.85,0.83
{np.str_('Burger')},{np.str_('Pizza')},0.202,0.49,0.8
"{np.str_('Pizza'), np.str_('Ketchup')}",{np.str_('Soup')},0.228,0.74,1.16
{np.str_('Fries')},{np.str_('Sandwich')},0.227,0.83,1.33
{np.str_('Pizza')},{np.str_('Sandwich')},0.122,0.57,0.93
{np.str_('Ketchup')},{np.str_('Fries')},0.288,0.44,1.18
