id,cart_id,menu_item_id,quantity
203,63,1642,1
204,63,1580,1
205,63,2310,3
206,64,1554,1
207,65,1908,1
208,65,1470,2
209,65,1654,3
210,65,2312,1
211,65,1539,1
212,66,1681,1
213,66,1624,3
214,66,2122,3
215,66,1589,1
216,67,2000,2
217,68,1504,3
218,68,1641,1
219,68,1390,1
220,68,1766,2
221,69,2046,2
222,69,1950,1
223,70,1475,3
224,70,2244,1
225,70,1807,2
226,71,1753,2
227,71,2375,2
228,72,1783,2
229,73,2230,1
230,73,2232,1
231,73,2339,3
232,73,2202,3
233,74,1826,3
234,74,2182,2
235,74,2156,1
236,74,1452,1
237,74,1619,2
238,75,2016,2
239,75,1512,2
240,75,1537,2
241,76,1500,1
242,77,1930,2
243,77,1717,1
244,77,1758,1
245,77,2188,3
246,77,1451,3
247,78,1440,2
248,79,1779,2
249,80,2310,2
250,80,1392,2
251,81,1736,2
252,82,1457,2
253,83,2178,3
254,83,1960,2
255,83,2297,1
256,84,1568,2
257,85,1832,3
258,85,2009,2
259,85,2131,3
260,85,1872,2
261,85,2087,2
262,86,1736,3
263,86,1750,2
264,86,1721,2
265,87,1390,1
266,87,1858,3
267,87,1764,1
268,87,2087,2
269,88,2143,2
270,88,1649,3
271,89,1890,3
272,89,1859,2
273,89,1762,2
274,89,1991,3
275,89,2196,1
276,90,2052,1
277,90,2228,3
278,90,1647,2
279,90,1810,3
280,90,2234,1
281,91,1742,3
282,91,1456,3
283,91,2126,1
284,91,1915,1
285,91,1790,3
286,92,1531,1
287,92,1436,2
288,92,2206,2
289,92,1998,3
290,93,1709,2
291,93,1626,3
292,94,2070,2
293,94,2098,3
294,94,1801,3
295,94,2002,2
296,94,1991,3
297,95,2379,2
298,95,1395,3
299,95,1435,2
300,95,1878,3
301,96,2274,3
302,96,1485,1
303,96,2378,3
304,97,1548,3
305,97,2160,2
306,97,2142,3
307,97,1404,3
308,98,1976,2
309,98,2334,1
310,99,1446,1
311,99,1894,2
312,99,1732,3
313,99,1798,2
314,100,1562,3
315,100,1524,2
316,100,2027,3
317,100,2003,3
318,100,1830,3
319,1,2242,1
320,1,1852,3
321,1,2139,2
322,1,2118,2
323,1,1584,2
324,2,1756,3
325,2,2108,3
326,2,1401,2
327,3,2133,3
328,3,1854,2
329,3,2156,2
330,4,1953,1
331,5,2086,3
332,5,1669,1
333,6,2066,1
334,6,1655,2
335,6,2347,3
336,6,1584,2
337,7,2107,2
338,8,1500,3
339,8,2235,2
340,9,2107,3
341,9,1882,3
342,9,1743,1
343,9,2100,2
344,10,2257,1
345,10,2157,3
346,10,1931,3
347,10,1952,3
348,11,1859,1
349,12,1694,2
350,12,1629,1
351,12,1892,3
352,12,1546,3
353,12,1426,3
354,13,2096,3
355,13,1673,3
356,13,2363,3
357,13,1714,2
358,13,1594,3
359,14,1548,1
360,14,2142,2
361,14,1729,1
362,14,2259,1
363,14,1440,2
364,15,2220,1
365,15,2379,1
366,15,2280,2
367,15,1685,1
368,16,1626,2
369,16,1506,2
370,16,1498,3
371,16,1587,3
372,17,1597,2
373,17,1429,1
374,17,1699,1
375,17,2013,2
376,18,1764,1
377,18,1525,3
378,18,1825,2
379,18,1961,3
380,19,2260,3
381,19,2236,2
382,20,1394,2
383,20,2320,2
384,20,1397,1
385,20,1771,1
386,20,1405,2
387,21,2128,2
388,21,1919,1
389,21,1409,3
390,22,2356,3
391,22,2093,3
392,22,1558,2
393,22,2355,1
394,23,2247,3
395,23,1427,1
396,23,1601,3
397,23,2135,1
398,23,2337,2
399,24,1572,1
400,25,2280,2
401,25,1935,2
402,26,2237,3
403,27,2350,1
404,27,1703,1
405,28,2180,1
406,28,1543,2
407,29,1643,2
408,29,1789,1
409,30,1960,1
410,30,1721,3
411,30,2360,1
412,30,1413,2
413,30,1954,3
414,31,2345,1
415,32,1495,2
416,33,1671,3
417,34,2186,2
418,34,2240,3
419,34,1705,3
420,34,1572,3
421,34,1916,2
422,35,2114,1
423,35,1998,2
424,35,1510,3
425,36,1636,1
426,36,1530,2
427,37,2329,3
428,38,1402,1
429,38,2123,1
430,39,1429,2
431,39,1515,2
432,39,2318,3
433,39,2305,1
434,40,1811,2
435,40,1945,2
436,40,2253,3
437,41,2035,3
438,41,2214,3
439,41,2200,3
440,42,1733,1
441,42,1530,1
442,43,2382,1
443,43,1472,1
444,43,1862,1
445,44,2158,1
446,44,1952,3
447,44,2149,2
448,44,1767,2
449,45,1472,2
450,45,2302,2
451,45,2027,2
452,45,2347,2
453,45,1481,3
454,46,1737,3
455,47,1432,2
456,47,1992,3
457,48,2041,1
458,48,1902,2
459,48,1855,1
460,48,1434,2
461,49,2226,2
462,49,2155,1
463,50,2129,3
464,50,2264,1
465,51,1745,1
466,51,2173,1
467,51,1451,3
468,52,1827,3
469,52,1513,2
470,52,1510,1
471,52,2258,1
472,52,1417,3
473,53,2278,2
474,53,2006,1
475,53,1631,2
476,54,2055,3
477,54,2018,3
478,55,1395,2
479,55,1661,1
480,55,1674,3
481,55,2280,2
482,56,2169,2
483,57,2084,2
484,57,1780,1
485,57,1991,2
486,57,1923,1
487,57,1721,2
488,58,2175,3
489,58,1640,3
490,58,2373,1
491,58,1767,2
492,59,2013,2
493,60,1886,3
494,60,2085,3
495,60,2216,2
496,61,1733,2
497,62,1618,2
498,62,1778,3
499,62,1557,3
500,62,1501,1
501,63,1995,2
502,63,1465,2
503,63,1439,1
504,63,2290,3
505,63,2352,3
506,64,1410,3
507,65,1433,1
508,65,1448,2
509,66,2312,3
510,66,1767,2
511,66,2017,3
512,66,1700,3
513,67,1908,3
514,67,1836,3
515,67,1478,3
516,67,1910,2
517,68,1892,2
518,69,1434,1
519,69,1673,1
520,69,1841,3
521,69,1931,3
522,69,1645,2
523,70,2143,2
524,70,2149,3
525,70,2110,2
526,71,2212,1
527,72,1895,1
528,72,1435,1
529,72,2339,3
530,72,1863,1
531,72,1882,2
532,73,2191,3
533,74,2040,3
534,74,1611,1
535,75,2225,1
536,75,1975,1
537,75,1887,3
538,75,1542,2
539,75,2266,3
540,76,2231,2
541,76,2321,2
542,77,2126,2
543,77,1667,2
544,77,1642,3
545,77,1423,2
546,78,1826,1
547,78,2073,3
548,78,2156,3
549,78,1855,1
550,78,1670,1
551,79,1959,2
552,79,1776,1
553,80,2014,1
554,80,2141,3
555,80,1810,1
556,80,1576,2
557,80,2180,3
558,81,1399,3
559,81,1487,1
560,81,1477,3
561,82,2321,1
562,82,1643,1
563,82,1394,2
564,82,1720,2
565,82,1427,1
566,83,1581,2
567,83,1631,2
568,83,1799,3
569,83,2243,1
570,83,1871,2
571,84,1591,1
572,84,2377,2
573,84,2201,2
574,84,2337,3
575,85,1757,3
576,86,2253,1
577,86,2137,1
578,86,1838,1
579,86,2012,3
580,86,2185,1
581,87,1814,3
582,87,2201,3
583,87,2386,1
584,88,1698,3
585,88,1589,1
586,88,1924,1
587,88,1912,1
588,89,1865,2
589,89,1829,2
590,90,1857,3
591,91,2094,3
592,91,2213,1
593,92,2257,3
594,92,1544,2
595,92,2264,2
596,93,1460,1
597,93,2114,3
598,93,1735,3
599,93,2186,2
600,93,2164,3
601,94,2033,3
602,94,1612,1
603,94,1782,3
604,95,1720,1
605,96,1682,2
606,97,1860,3
607,97,2085,1
608,97,2139,1
609,98,2361,2
610,98,1871,1
611,98,1971,3
612,98,1775,1
613,98,1912,3
614,99,1683,1
615,100,1551,2
616,100,2136,1
617,1,1847,2
618,1,1723,2
619,2,1469,2
620,2,1578,1
621,2,1688,1
622,3,1766,3
623,3,1882,3
624,4,1688,1
625,4,1392,2
626,4,1563,1
627,4,2018,1
628,5,2366,1
629,5,1593,1
630,5,2182,3
631,6,2182,3
632,6,2065,3
633,7,2194,1
634,7,1693,2
635,7,2262,3
636,7,1777,1
637,7,2008,3
638,8,1760,1
639,8,1572,2
640,9,1549,2
641,9,1677,3
642,9,2195,1
643,9,2315,2
644,9,1523,3
645,10,1983,3
646,10,1513,2
647,10,1433,2
648,11,1482,1
649,11,2197,3
650,11,2117,3
651,11,2127,1
652,11,1986,2
653,12,1768,2
654,12,2105,3
655,12,1870,1
656,12,1411,3
657,13,1424,3
658,13,1844,2
659,13,1437,2
660,14,1555,1
661,14,1805,3
662,15,1568,3
663,15,1663,3
664,16,1833,2
665,16,2123,3
666,16,2197,2
667,16,1414,2
668,16,2139,3
669,17,1644,3
670,17,1782,2
671,17,1510,2
672,17,1698,1
673,18,1597,1
674,19,1652,3
675,19,1731,3
676,20,1539,3
677,20,2073,3
678,21,1923,2
679,21,1893,1
680,21,1519,2
681,21,1947,1
682,22,1391,2
683,22,2150,3
684,22,1572,1
685,22,2039,3
686,23,1612,1
687,23,1718,3
688,23,1449,2
689,23,2176,1
690,23,1476,3
691,24,2187,1
692,24,1471,2
693,24,1656,1
694,24,2261,3
695,25,1675,3
696,25,1688,3
697,25,1550,1
698,26,2024,2
699,26,1417,1
700,26,1693,3
701,26,2363,3
702,26,2081,1
703,27,2245,1
704,27,1613,1
705,27,2107,2
706,27,1440,2
707,28,1534,1
708,29,2365,2
709,29,1688,1
710,29,2015,1
711,31,1523,2
712,31,1559,1
713,32,1663,1
714,32,1458,2
715,32,1414,3
716,32,1920,2
717,33,1628,2
718,33,1819,2
719,33,1793,2
720,34,2163,3
721,34,2223,2
722,34,1732,1
723,34,2165,2
724,35,2140,2
725,36,2123,2
726,36,1652,1
727,36,2248,3
728,37,1559,2
729,37,1714,1
730,38,1446,2
731,38,2150,1
732,39,2312,3
733,39,2067,3
734,40,2307,2
735,40,1524,3
736,40,2234,3
737,40,2147,2
738,40,1701,3
739,41,1835,1
740,41,1803,3
741,41,1637,1
742,41,1468,3
743,42,1960,1
744,42,1791,2
745,42,2196,2
746,42,2249,1
747,42,1981,3
748,43,1492,2
749,44,1414,1
750,44,1488,3
751,45,2126,1
752,45,1539,3
753,46,2250,2
754,46,1615,1
755,46,1434,1
756,46,1498,1
757,47,2215,2
758,48,1894,1
759,49,2101,1
760,49,1978,1
761,50,2236,1
762,50,1560,2
763,51,2348,2
764,51,2166,2
765,52,2138,2
766,52,2039,1
767,52,1739,1
768,52,2357,1
769,53,1629,3
770,54,1837,1
771,55,2340,3
772,55,2124,1
773,55,1600,3
774,55,1541,1
775,55,1862,1
776,56,2223,1
777,57,2361,2
778,57,1410,3
779,57,1720,3
780,57,2271,2
781,57,1825,1
782,58,1645,2
783,58,1432,3
784,58,2169,2
785,58,2036,2
786,58,2316,3
787,59,1639,3
788,59,1659,2
789,59,1786,1
790,59,1540,2
791,59,1945,1
792,60,2305,3
793,60,2215,1
794,60,2050,3
795,60,2280,3
796,61,1763,1
797,61,2315,2
798,62,1913,2
799,62,1815,3
800,62,1412,3
801,63,2216,1
802,63,2341,1
803,63,2093,1
804,63,1433,1
805,64,2180,2
806,64,2212,2
807,64,2127,1
808,64,1998,1
809,64,1920,2
810,65,1867,3
811,66,2097,2
812,66,1396,1
813,66,2383,3
814,66,1483,2
815,67,1828,1
816,67,2331,2
817,67,2288,2
818,67,2248,2
819,67,1851,1
820,68,2353,2
821,68,1481,2
822,69,1873,2
823,70,1524,3
824,70,1886,3
825,70,1813,3
826,71,1927,3
827,71,2265,1
828,71,1911,2
829,71,1882,2
830,71,1742,3
831,72,2174,2
832,72,1967,1
833,72,1401,2
834,72,2198,1
835,73,1885,3
836,73,2052,1
837,73,1774,1
838,73,2069,2
839,73,2314,2
840,74,2106,1
841,75,1590,2
842,75,1411,3
843,75,1723,3
844,75,1810,2
845,75,1623,2
846,76,1416,1
847,76,2023,1
848,76,2325,2
849,77,1915,3
850,77,2233,2
851,78,2277,2
852,78,1719,1
853,78,2310,2
854,78,1809,2
855,79,2130,1
856,79,1967,3
857,80,1569,2
858,80,1621,2
859,80,1860,1
860,80,2337,3
861,81,1892,3
862,81,2323,2
863,81,2058,2
864,82,1764,1
865,83,2109,3
866,84,2047,1
867,84,2158,1
868,84,1587,1
869,85,2234,2
870,85,1669,2
871,85,1455,3
872,85,1787,1
873,86,1551,1
874,87,1621,1
875,87,1762,3
876,87,1488,2
877,88,1735,2
878,89,1948,3
879,89,2164,2
880,90,1921,1
881,90,1995,1
882,90,1828,3
883,90,1516,1
884,91,1833,3
885,91,1727,3
886,91,1662,3
887,92,2135,3
888,92,1561,3
889,92,2268,1
890,92,1929,3
891,93,1963,3
892,93,2080,3
893,93,2274,2
894,94,1901,2
895,94,2006,1
896,94,1682,1
897,95,1819,1
898,95,1871,3
899,95,2320,2
900,95,1717,2
901,95,1551,2
902,96,1884,2
903,97,2351,2
904,97,1708,2
905,98,2149,3
906,98,2012,1
907,98,2385,2
908,98,1471,1
909,99,2191,2
910,99,2133,1
911,99,2113,2
912,99,1917,1
913,100,1860,2
914,100,2222,2
915,100,1416,1
916,100,1982,1
917,100,1970,3
918,1,1438,3
919,2,2164,1
920,3,1832,3
921,3,1643,2
922,4,2214,3
923,4,2209,2
924,5,1611,1
925,5,1816,3
926,5,2024,2
927,6,1690,3
928,6,2102,3
929,7,1399,3
930,7,2149,3
931,8,1896,2
932,8,2352,3
933,8,2130,1
934,9,1607,3
935,9,1696,2
936,9,1890,1
937,9,1753,3
938,9,2373,1
939,10,1698,1
940,10,1637,2
941,11,2216,1
942,12,1810,3
943,12,1451,3
944,12,1554,3
945,13,1778,2
946,13,1902,3
947,13,2114,1
948,13,2249,1
949,14,1773,1
950,15,1840,3
951,15,1780,1
952,15,1424,2
953,15,1795,3
954,15,2070,1
955,16,2248,2
956,16,1945,3
957,16,2079,1
958,16,2219,1
959,16,1951,3
960,17,1647,2
961,17,1721,3
962,17,1618,2
963,17,2098,2
964,18,1410,2
965,18,1584,1
966,18,1538,1
967,18,1752,2
968,18,2198,2
969,19,1720,3
970,19,1943,2
971,20,1475,3
972,20,2336,2
973,20,2305,1
974,21,2063,1
975,21,2135,3
976,21,2131,3
977,21,2276,1
978,22,2201,3
979,23,2343,1
980,23,2296,1
981,23,2024,1
982,23,1767,2
983,24,2066,3
984,24,1669,3
985,24,2055,1
986,25,2198,2
987,25,1722,2
988,25,1554,3
989,25,2365,3
990,26,1624,2
991,26,1634,3
992,26,1887,3
993,26,1631,1
994,27,1591,2
995,27,1785,2
996,27,1395,3
997,27,1713,3
998,27,1756,2
999,28,2138,1
1000,28,1415,1
1001,29,1940,1
1002,29,1831,3
1003,29,2017,1
1004,29,2234,1
1005,30,2039,2
1006,31,1563,1
1007,31,1674,1
1008,31,1409,1
1009,31,2270,2
1010,31,1954,2
1011,32,1619,3
1012,32,1550,3
1013,32,1574,3
1014,32,2203,2
1015,32,1769,2
1016,33,2153,2
1017,33,1590,2
1018,33,1415,2
1019,33,2124,1
1020,33,1605,3
1021,34,2001,3
1022,35,1501,3
1023,35,1999,1
1024,36,2138,1
1025,36,2361,1
1026,36,1512,1
1027,36,2206,1
1028,37,1570,3
1029,38,2040,2
1030,39,1788,1
1031,39,2137,1
1032,39,1508,2
1033,39,1616,3
1034,39,2324,2
1035,40,1689,2
1036,41,1712,2
1037,42,1639,1
1038,43,1985,2
1039,43,1516,2
1040,43,2297,3
1041,43,2378,2
1042,44,1971,2
1043,44,1906,2
1044,45,1659,2
1045,45,2072,1
1046,45,1726,3
1047,45,2307,3
1048,45,2009,1
1049,46,2301,1
1050,47,2193,1
1051,47,1443,3
1052,48,1581,2
1053,48,2263,2
1054,48,1641,3
1055,48,2074,3
1056,48,1636,1
1057,49,1564,1
1058,50,2046,3
1059,51,1888,1
1060,51,1401,3
1061,51,1820,2
1062,51,2330,1
1063,52,1474,2
1064,52,1449,1
1065,52,2387,1
1066,53,2374,1
1067,53,2365,1
1068,53,1880,2
1069,54,1752,3
1070,54,1405,1
1071,54,2158,3
1072,54,2111,3
1073,55,2070,2
1074,55,1884,1
1075,55,1582,2
1076,55,1975,3
1077,55,1420,2
1078,56,1602,2
1079,57,1897,1
1080,57,2304,3
1081,57,1636,3
1082,58,2077,3
1083,58,1844,2
1084,59,1808,1
1085,60,2249,2
1086,60,1893,2
1087,60,1710,3
1088,60,1568,2
1089,61,2087,1
1090,61,2068,1
1091,62,1443,1
1092,62,2201,3
1093,62,2060,1
1094,63,2054,3
1095,63,2230,1
1096,64,1831,3
1097,64,2057,2
1098,65,1888,2
1099,65,2168,1
1100,66,1484,2
1101,66,1891,1
1102,67,1573,2
1103,67,2008,1
1104,67,1982,3
1105,68,2295,3
1106,69,2070,1
1107,69,1970,2
1108,69,2144,1
1109,69,1601,1
1110,70,1916,3
1111,70,1747,3
1112,70,2303,3
1113,71,2113,3
1114,71,2263,1
1115,72,2158,1
1116,73,2190,1
1117,73,1869,1
1118,73,2124,3
1119,73,2270,1
1120,74,2300,1
1121,74,1810,2
1122,74,1930,3
1123,74,2269,1
1124,75,1461,3
1125,75,2221,1
1126,76,2011,3
1127,76,2169,1
1128,76,1599,1
1129,76,1694,2
1130,77,1548,2
1131,78,1851,1
1132,79,2086,1
1133,79,1629,3
1134,80,1734,3
1135,80,1626,3
1136,80,1419,1
1137,80,2370,2
1138,80,2381,2
1139,81,2166,1
1140,82,1554,3
1141,82,1565,2
1142,82,2220,1
1143,82,1853,1
1144,82,1847,3
1145,83,1935,1
1146,83,1653,3
1147,84,1583,3
1148,84,1881,2
1149,84,1504,1
1150,84,1879,2
1151,85,1574,1
1152,85,2323,1
1153,85,1511,1
1154,85,2042,1
1155,86,2265,3
1156,86,1611,1
1157,86,1887,1
1158,87,2086,3
1159,87,1896,1
1160,88,1521,3
1161,88,2005,2
1162,88,1786,2
1163,88,1686,2
1164,88,2365,1
1165,89,1959,3
1166,89,1436,2
1167,90,1429,3
1168,91,2276,2
1169,91,1999,2
1170,91,2199,1
1171,92,1668,1
1172,93,1423,1
1173,93,1609,1
1174,94,2357,2
1175,94,1888,1
1176,95,1517,2
1177,95,1670,1
1178,95,2019,3
1179,96,2124,3
1180,97,2033,1
1181,97,2212,2
1182,97,1602,3
1183,97,2346,2
1184,97,2238,2
1185,98,1461,3
1186,98,1464,2
1187,98,1677,1
1188,98,1687,1
1189,99,1666,1
1190,100,1686,1
